,LINK_ID,Source,Target,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,geometry
149815,1610164000,1610061800,1610060900,2,104,000,-,미단중앙로,0,0,000,50,0,0,0,398.77957373169,,"LINESTRING (157036.4600999959 547457.2708999966, 157029.5605999965 547444.7860999973, 157022.4615999977 547432.8467999945, 157012.8264999978 547419.357699999, 157004.356899998 547409.3196999932, 156992.5635999962 547399.1200999994, 156979.8430999955 547388.9436000027, 156964.6238999974 547380.6998999913, 156950.632199996 547374.3399999974, 156934.8205999952 547369.5965999924, 156918.5587999978 547366.7267999937, 156903.6639999982 547365.4316000013, 156888.8422999981 547364.4210999929, 156869.7155999988 547361.0055999995, 156852.6665999964 547356.2318999954, 156836.8730999987 547350.3950999983, 156819.1250999947 547341.1797999997, 156801.8246999988 547330.3246999945, 156773.9575999977 547309.1724999986, 156753.167399995 547290.3943000004, 156713.0575999981 547250.9384999988)"
149816,1610164100,1610060900,1610061800,2,104,000,-,미단중앙로,0,0,000,50,0,0,0,403.204975292165,,"LINESTRING (156721.4728999964 547242.3837999963, 156761.400499999 547281.6602999984, 156781.6207999968 547299.9238999903, 156808.6547999985 547320.4435999991, 156825.0887999976 547330.7552000033, 156841.7367999995 547339.3992999897, 156856.3703999955 547344.8073999897, 156872.3943999932 547349.2940999967, 156890.3094999931 547352.4931999946, 156904.5920000001 547353.4670000018, 156920.124299995 547354.8177000039, 156937.5968999929 547357.9010999994, 156954.8582999936 547363.0794999987, 156969.9708999994 547369.9488999974, 156986.5016999983 547378.9031000036, 157000.2394999941 547389.8932999932, 157012.9201999968 547400.8604000007, 157022.3100999971 547411.9890999983, 157032.5187999969 547426.2814000007, 157039.9718999945 547438.8159999945, 157047.4091999978 547452.3084999972)"
149817,1610164200,1610061200,1610061300,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,45.75011320897,,"LINESTRING (156863.3932999969 547742.2597999967, 156889.883299999 547741.3372999913, 156909.0973999951 547740.0212999994)"
149818,1610164300,1610061300,1610061200,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,46.152978827042,,"LINESTRING (156909.9173999954 547751.9931999927, 156890.5022999942 547753.3230000028, 156863.8108999959 547754.2525999959)"
149819,1610164400,1610061300,1610061400,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,57.477809244135,,"LINESTRING (156903.5160999968 547745.6843999967, 156904.7130999936 547723.4740999977, 156905.6618999994 547713.3081999961, 156907.6785999973 547698.5184999977, 156909.4197999978 547688.5519000015)"
149820,1610164500,1610061400,1610061300,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,56.048674542924,,"LINESTRING (156921.2407999943 547690.617000001, 156919.5382999999 547700.3623999995, 156917.5862999935 547714.6769999894, 156916.6829999973 547724.3548999985, 156915.498699992 547746.330100003)"
149821,1610164600,1610061400,1610061500,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,138.35367792716,,"LINESTRING (156909.4197999978 547688.5519000015, 156911.5488999934 547676.3646999958, 156913.0314999963 547669.0865999938, 156914.9142999945 547660.6140000009, 156917.4692000011 547650.5286000009, 156921.8968999982 547634.8306999946, 156927.3853999966 547618.4988999952, 156932.8679999935 547603.1208999942, 156937.8433999949 547590.7495999954, 156942.2956999991 547580.6307999914, 156947.8104999959 547569.3320999987, 156953.7096999963 547558.098099997)"
149822,1610164700,1610061500,1610061400,1,104,000,-,미단뉴타운로,0,0,000,30,0,0,0,134.627531027078,,"LINESTRING (156964.333899998 547563.6769999977, 156958.516999998 547574.7545999908, 156953.1837999969 547585.6809999938, 156948.9047999977 547595.4059999945, 156944.0906999935 547607.3762999988, 156938.7252999987 547622.4255000008, 156933.3658999957 547638.3728999987, 156929.0622999963 547653.6313999986, 156926.5902000001 547663.3896999945, 156924.768799998 547671.585999992, 156923.3408999954 547678.5952999931, 156921.2407999943 547690.617000001)"
149823,1610164800,1610061400,1610061600,1,104,000,-,미단뉴타운로26번길,0,0,000,30,0,0,0,60.222770774069,,"LINESTRING (156914.8455000006 547683.6040999946, 156929.6226999985 547682.4060999975, 156949.364499994 547677.7609999985, 156963.3712999962 547674.1628999927, 156973.3187999954 547670.2910999934)"
149824,1610164900,1610061600,1610061400,1,104,000,-,미단뉴타운로26번길,0,0,000,30,0,0,0,62.754995482312,,"LINESTRING (156976.7668999951 547681.7849999915, 156967.0645999984 547685.6037999967, 156952.2317999983 547689.4140000003, 156931.4922999956 547694.2938999954, 156915.8150999986 547695.5648999949)"
