,Unnamed: 0,Id,NODE_TYPE,NODE_NAME,TURN_P,REMARK,latitude,longitude
290,157876,1610013500,103,속성변화점,0,,37.48994912091301,126.48746004267859
291,157877,1610013501,101,운서동2821,0,,37.49138655291001,126.48487998862853
292,157878,1610013800,101,흰바위사거리,1,,37.491867620192686,126.49140519901479
293,157879,1610013801,101,운서동2821,1,,37.493040295224255,126.49227678683944
294,157880,1610014000,101,흰바위사거리,1,,37.49234205840568,126.49038754302002
295,157881,1610014100,101,예현교회,0,,37.49249040177741,126.48806341765848
296,157882,1610014101,101,운서동행정복지센터,1,,37.49298535326618,126.48807548806516
297,157883,1610014200,101,눈돌사거리,1,,37.49255446383423,126.48494294848662
298,157884,1610014300,101,운서역1번출구,0,,37.49371662091006,126.49277823013958
299,157885,1610014400,101,KB국민은행인천공항신도시지점,0,,37.49388952567299,126.49198051137306
300,157886,1610014500,101,삼목교차로,1,,37.49312463917065,126.4544940245299
301,157887,1610014600,101,영종교회,1,,37.49392308842131,126.49045657450839
302,157888,1610014601,101,운서동행정복지센터,0,,37.493961325800825,126.48871943526771
303,157889,1610014602,101,허브허브호텔,1,,37.493937672485494,126.48979409528552
304,157890,1610014700,101,운서119안전센터,0,,37.49397496422436,126.48809963575783
305,157891,1610014800,103,속성변화점,0,,37.49432718293178,126.48498573031027
306,157892,1610014900,101,제우메스호텔,1,,37.494425026648415,126.49328669941096
307,157893,1610015000,101,한우리교회,1,,37.49460915231213,126.48239076119481
308,157894,1610015100,101,더호텔영종,0,,37.49467237095475,126.49196854255203
309,157895,1610015200,101,사랑의교회,1,,37.49469890151961,126.49049523087628
310,157896,1610015300,101,영종국제하모니교회,1,,37.49474168344993,126.48811835415292
311,157897,1610015400,101,제우메스호텔,0,,37.495017995772244,126.49341401175481
312,157898,1610015500,101,은골사거리,1,,37.49520918331175,126.49051257342249
313,157899,1610015501,101,운서동2814,0,,37.49660203730974,126.49056904407428
314,157900,1610015600,101,영종도서관,1,,37.495238900995425,126.48813047975433
315,157901,1610015700,101,공원사거리,1,,37.49533371418139,126.48501797959604
316,157902,1610015800,101,중산교차로,1,,37.49549166250488,126.54988589283579
317,157903,1610015900,101,돌핀부두교차로,0,,37.49587793228224,126.44302476071893
318,157904,1610016000,101,운서동2833-6,0,,37.49622349547058,126.43837482396033
